Source,Target,Type,Id,Label,Weight
CSA30,EEX22,Directed,569,,1
CSA30,CSW40,Directed,570,,1
CSA30,CSI30,Directed,571,,1
CSA30,CSX54,Directed,572,,1
CSA30,CSE30,Directed,573,,1
CSA30,CSA31,Directed,574,,1
CSA30,CSO30,Directed,575,,1
CSO30,FI74M,Directed,576,,1
CSO30,EL66E,Directed,577,,1
CSO30,EEX22,Directed,578,,1
CSO30,FI74S,Directed,579,,1
CSO30,EEE32,Directed,580,,1
CSO30,CSX54,Directed,581,,1
FI71M,FI72M,Directed,582,,1
FI71M,QB70C,Directed,583,,1
FI71M,MA72A,Directed,584,,1
FI71M,EEX11,Directed,585,,1
FI71M,FI72S,Directed,586,,1
FI71M,CSE20,Directed,587,,1
FI71M,CSF20,Directed,588,,1
FI71M,FI72N,Directed,589,,1
FI72N,MA70G,Directed,590,,1
FI72N,MA70H,Directed,591,,1
FI72N,MA73A,Directed,592,,1
FI72N,EEX21,Directed,593,,1
FI72N,EEB21,Directed,594,,1
FI72N,FI73M,Directed,595,,1
FI72N,CSF30,Directed,596,,1
